413,1001,1,0,1,0,2,0,3,4096,2,0,0
11,10001,1,4096,21,4096,1,4096,1,0,1,0,0
11,501,1,148244,0,1800,6,707406346,9,0,0,0,1
11,10001,4,0,5,0,7,0,9,0,7,1230328096,0
11,10001,3,0,5,0,7,0,9,0,0,1664512,0
11,10001,1,0,2,0,4,0,5,0,3,47104,0
Saahera,10001,2,0,2,4096,2,4096,2,4096,2,2,1
11,10001,1,1,1,1,1,1,2,2,1,1,5
123,10004,0,0,1,4096,2,4096,3,4096,3,0,1
Saahera,10001,1,1,1,1,1,1,5,2,1,1,4
Saahera,10001,1,1,1,1,1,1,2,2,1,1,5
Saahera,10001,1,1,1,1,1,1,5,2,1,1,4
anu,10001,1,1,1,1,1,1,1,2,1,1,4
anu,10003,2,2,2,2,1,1,2,2,1,1,5
anu,10004,2,2,2,2,1,1,1,1,1,1,5
anu,10005,3,159,3,3,3,3,3,3,1,1,4
123,10001,1,1,1,1,1,1,2,2,1,1,5





















anu,10004,2,2,2,2,1,1,1,1,1,1,5
